Family,TaxonName,Genus,Species,InfraName1,InfraName2,InfraName3,Cultivar,TradeName,CommonNameAll,Distribution,LifeForm,QRCodeURL,NameID
Caprifoliaceae,Abelia × grandiflora,Abelia,× grandiflora,,,,,,Glossy Abelia,Interspecies Hybrid,Shrub/sub-shrub,taxon-5.aspx?qr=0,5
Oleaceae,Abeliophyllum distichum,Abeliophyllum,distichum,,,,,,White Forsythia,Korea,Shrub/sub-shrub,taxon-6.aspx?qr=0,6
Oleaceae,Abeliophyllum distichum 'Roseum',Abeliophyllum,distichum,,,,'Roseum',,"Roseum White Forsythia, White Forsythia",Korea,Shrub/sub-shrub,taxon-14681.aspx?qr=0,14681
Malvaceae,Abelmoschus esculentus,Abelmoschus,esculentus,,,,,,Okra,East Africa,Herb Annual,taxon-8.aspx?qr=0,8
Pinaceae,Abies alba,Abies,alba,,,,,,Silver Fir,Europe,Tree,taxon-9.aspx?qr=0,9
Pinaceae,Abies balsamea,Abies,balsamea,,,,,,Balsam Fir,North America,Tree,taxon-11.aspx?qr=0,11
Pinaceae,Abies firma,Abies,firma,,,,,,Momi Fir,Japan,Tree,taxon-16.aspx?qr=0,16
Pinaceae,Abies holophylla,Abies,holophylla,,,,,,Needle Fir,Northeast China to Korea,Tree,taxon-19.aspx?qr=0,19
Pinaceae,Abies homolepis,Abies,homolepis,,,,,,Nikko Fir,Japan,Tree,taxon-20.aspx?qr=0,20
Pinaceae,Abies sachalinensis,Abies,sachalinensis,,,,,,Sakhalin Fir,North Japan,Tree,taxon-32.aspx?qr=0,32
Malvaceae,Abutilon × hybridum 'Rose Form',Abutilon,× hybridum,,,,'Rose Form',,Rose Flowering Maple,Horticultural Selection,Shrub/sub-shrub,taxon-44.aspx?qr=0,44
Malvaceae,Abutilon × hybridum 'Savitzii',Abutilon,× hybridum,,,,'Savitzii',,Savitz Flowering Maple,Horticultural Selection,Shrub/sub-shrub,taxon-40.aspx?qr=0,40
Malvaceae,Abutilon theophrasti,Abutilon,theophrasti,,,,,,"Velvet Leaf, Butter-Print","Central Asia, China (introduced widelly)",Herb Annual,taxon-50.aspx?qr=0,50
Fabaceae,Acacia collinsii,Acacia,collinsii,,,,,,Cornizuelo,Mexico,Shrub/sub-shrub,taxon-54.aspx?qr=0,54
Fabaceae,Acacia cultriformis,Acacia,cultriformis,,,,,,Knife-leaf Wattle,Eastern Australia,Shrub/sub-shrub,taxon-56.aspx?qr=0,56
Fabaceae,Acacia farnesiana,Acacia,farnesiana,,,,,,"Sweet Wattle, Scented Acacia",Tropical America,Tree,taxon-14605.aspx?qr=0,14605
Euphorbiaceae,Acalypha reptans,Acalypha,reptans,,,,,,Strawberry Firetails,West Indies,Shrub/sub-shrub,taxon-72.aspx?qr=0,72
Euphorbiaceae,Acalypha wilkesiana 'Godseffiana',Acalypha,wilkesiana,,,,'Godseffiana',,Jacob's-coat,Pacific Islands,Shrub/sub-shrub,taxon-76.aspx?qr=0,76
Euphorbiaceae,Acalypha wilkesiana 'Obovata',Acalypha,wilkesiana,,,,'Obovata',,Obovata Copperleaf,Pacific Islands,Shrub/sub-shrub,taxon-78.aspx?qr=0,78
Euphorbiaceae,Acalypha wilkesiana 'Macafeeana',Acalypha,wilkesiana,,,,'Macafeeana',,Macafeeana Copperleaf,Pacific Islands,Shrub/sub-shrub,taxon-77.aspx?qr=0,77
Cactaceae,Acanthocalycium formosum,Acanthocalycium,formosum,,,,,,"Acanthocalycium, Echinopsis Cactus, Echinopsis Cactus, Echinopsis, Pasakana, Koko","W Argentina, Chile (Andies)",Cactus/succulent,taxon-150723.aspx?qr=0,150729
Cactaceae,Acanthocalycium spiniflorum,Acanthocalycium,spiniflorum,,,,,,"Acanthocalycium, Acanthocalycium, Echionopsis Cactus","W Argentina, Chile (Andies)",Cactus/succulent,taxon-150726.aspx?qr=0,150732
Cactaceae,Acanthocalycium thionanthum subsp. thionanthum,Acanthocalycium,thionanthum,thionanthum,,,,,"Acanthocalycium, Echinopsis Cactus",Northwest Argentina,Cactus/succulent,taxon-150727.aspx?qr=0,150733
Cactaceae,Acanthocereus tetragonus,Acanthocereus,tetragonus,,,,,,"Acanthocereus Cactus, Barbed-Wire Cactus","Florida, Caribbean, Mexico to Colombia",Shrub/sub-shrub,taxon-79.aspx?qr=0,79
Plumbaginaceae,Acantholimon venustum,Acantholimon,venustum,,,,,,Prickly Thrift,Western Turkey,Shrub/sub-shrub,taxon-85.aspx?qr=0,85
